url_path,views_total,views_unique
/demichie/IMEX_SfloW2D_v2,20,12
/demichie/IMEX_SfloW2D_v2/tree/master/EXAMPLES,11,5
/demichie/IMEX_SfloW2D_v2/tree/master/EXAMPLES/EXAMPLE_1D_VERT,11,1
/demichie/IMEX_SfloW2D_v2/tree/master,8,4
/demichie/IMEX_SfloW2D_v2/blob/master/INSTALL,7,2
/demichie/IMEX_SfloW2D_v2/wiki,5,2
/demichie/IMEX_SfloW2D_v2/tree/master/src,3,3
/demichie/IMEX_SfloW2D_v2/releases/tag/1.0.2,3,2
/demichie/IMEX_SfloW2D_v2/blob/master/EXAMPLES/EXAMPLE_1D_VERT/create_example.py,3,1
/demichie/IMEX_SfloW2D_v2/tree/master/EXAMPLES/EXAMPLE_ETNA,2,2
