time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,72,27,0,0
2026-04-22 00:00:00+00:00,55,23,6,2
2026-04-23 00:00:00+00:00,83,26,2,1
2026-04-24 00:00:00+00:00,70,23,1,1
2026-04-25 00:00:00+00:00,55,20,0,0
2026-04-26 00:00:00+00:00,14,9,2,1
2026-04-27 00:00:00+00:00,16,6,4,2
2026-04-28 00:00:00+00:00,35,9,0,0
2026-04-29 00:00:00+00:00,20,7,0,0
2026-04-30 00:00:00+00:00,32,10,4,1
2026-05-01 00:00:00+00:00,48,11,14,2
2026-05-02 00:00:00+00:00,26,8,1,1
2026-05-03 00:00:00+00:00,13,7,1,1
2026-05-04 00:00:00+00:00,19,8,0,0
