time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,13,7,1,1
2026-05-04 00:00:00+00:00,19,8,0,0
2026-05-05 00:00:00+00:00,37,10,3,2
2026-05-06 00:00:00+00:00,14,4,1,1
2026-05-07 00:00:00+00:00,12,7,0,0
2026-05-08 00:00:00+00:00,39,13,1,1
2026-05-09 00:00:00+00:00,9,4,1,1
2026-05-10 00:00:00+00:00,31,10,0,0
2026-05-11 00:00:00+00:00,8,4,9,3
2026-05-12 00:00:00+00:00,3,3,5,2
2026-05-13 00:00:00+00:00,30,8,7,2
2026-05-14 00:00:00+00:00,50,19,0,0
2026-05-15 00:00:00+00:00,9,5,0,0
2026-05-16 00:00:00+00:00,23,9,0,0
