time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-23 00:00:00+00:00,3,3,11.0,5.0
2025-08-24 00:00:00+00:00,4,4,1.0,1.0
2025-08-25 00:00:00+00:00,3,3,4.0,1.0
2025-08-26 00:00:00+00:00,1,1,6.0,2.0
2025-08-27 00:00:00+00:00,1,1,8.0,1.0
2025-08-28 00:00:00+00:00,3,3,1.0,1.0
2025-08-29 00:00:00+00:00,4,4,21.0,1.0
2025-08-30 00:00:00+00:00,3,3,,
2025-08-31 00:00:00+00:00,1,1,1.0,1.0
2025-09-01 00:00:00+00:00,27,5,8.0,1.0
2025-09-02 00:00:00+00:00,16,5,21.0,1.0
2025-09-03 00:00:00+00:00,3,3,3.0,1.0
2025-09-04 00:00:00+00:00,25,10,10.0,1.0
2025-09-05 00:00:00+00:00,82,9,10.0,1.0
