time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-23 00:00:00+00:00,6,5,1,1
2026-03-24 00:00:00+00:00,12,7,1,1
2026-03-25 00:00:00+00:00,5,4,1,1
2026-03-26 00:00:00+00:00,13,8,22,2
2026-03-27 00:00:00+00:00,9,7,4,1
2026-03-28 00:00:00+00:00,19,10,11,2
2026-03-29 00:00:00+00:00,8,4,0,0
2026-03-30 00:00:00+00:00,2,2,10,2
2026-03-31 00:00:00+00:00,16,7,0,0
2026-04-01 00:00:00+00:00,13,8,10,2
2026-04-02 00:00:00+00:00,10,9,9,3
2026-04-03 00:00:00+00:00,10,6,0,0
2026-04-04 00:00:00+00:00,5,4,5,1
2026-04-05 00:00:00+00:00,9,4,0,0
