time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,32,9,,
2025-10-31 00:00:00+00:00,54,8,1.0,1.0
2025-11-01 00:00:00+00:00,28,6,1.0,1.0
2025-11-02 00:00:00+00:00,3,2,2.0,2.0
2025-11-03 00:00:00+00:00,23,5,4.0,3.0
2025-11-04 00:00:00+00:00,12,4,,
2025-11-05 00:00:00+00:00,8,6,16.0,1.0
2025-11-06 00:00:00+00:00,9,7,4.0,3.0
2025-11-07 00:00:00+00:00,21,6,32.0,3.0
2025-11-08 00:00:00+00:00,11,4,13.0,1.0
2025-11-09 00:00:00+00:00,17,6,,
2025-11-10 00:00:00+00:00,16,5,16.0,3.0
2025-11-11 00:00:00+00:00,5,4,19.0,4.0
2025-11-12 00:00:00+00:00,5,2,5.0,2.0
