time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-07 00:00:00+00:00,1,1,1,1
2024-06-08 00:00:00+00:00,0,0,1,1
2024-06-10 00:00:00+00:00,2,1,2,1
2024-06-11 00:00:00+00:00,0,0,1,1
2024-06-12 00:00:00+00:00,5,5,0,0
2024-06-13 00:00:00+00:00,0,0,14,1
2024-06-18 00:00:00+00:00,13,8,6,1
2024-06-19 00:00:00+00:00,6,4,0,0
2024-06-20 00:00:00+00:00,8,7,0,0
2024-06-21 00:00:00+00:00,0,0,3,3
2024-06-22 00:00:00+00:00,1,1,0,0
2024-06-23 00:00:00+00:00,5,3,37,1
2024-06-24 00:00:00+00:00,0,0,4,1
2024-06-25 00:00:00+00:00,0,0,10,2
2024-06-26 00:00:00+00:00,0,0,1,1
2024-06-27 00:00:00+00:00,0,0,12,2
2024-06-28 00:00:00+00:00,0,0,2,1
2024-06-29 00:00:00+00:00,4,4,0,0
2024-06-30 00:00:00+00:00,2,1,0,0
2024-07-01 00:00:00+00:00,1,1,15,3
2024-07-02 00:00:00+00:00,0,0,11,3
2024-07-03 00:00:00+00:00,0,0,2,2
2024-07-04 00:00:00+00:00,0,0,21,2
2024-07-06 00:00:00+00:00,0,0,1,1
2024-07-08 00:00:00+00:00,1,1,9,1
2024-07-10 00:00:00+00:00,3,1,0,0
2024-07-12 00:00:00+00:00,2,2,3,3
2024-07-13 00:00:00+00:00,2,1,11,2
2024-07-14 00:00:00+00:00,1,1,0,0
2024-07-15 00:00:00+00:00,2,2,17,1
2024-07-17 00:00:00+00:00,1,1,2,1
2024-07-19 00:00:00+00:00,1,1,0,0
2024-07-20 00:00:00+00:00,1,1,0,0
2024-07-22 00:00:00+00:00,0,0,5,1
2024-07-23 00:00:00+00:00,1,1,9,2
2024-07-24 00:00:00+00:00,0,0,8,1
2024-07-25 00:00:00+00:00,1,1,0,0
2024-07-27 00:00:00+00:00,1,1,0,0
2024-07-28 00:00:00+00:00,0,0,8,1
2024-07-29 00:00:00+00:00,3,1,0,0
2024-07-30 00:00:00+00:00,0,0,5,1
2024-07-31 00:00:00+00:00,1,1,0,0
2024-08-02 00:00:00+00:00,1,1,0,0
2024-08-04 00:00:00+00:00,1,1,0,0
2024-08-05 00:00:00+00:00,1,1,0,0
2024-08-06 00:00:00+00:00,5,2,0,0
2024-08-07 00:00:00+00:00,1,1,0,0
2024-08-08 00:00:00+00:00,3,1,0,0
2024-08-09 00:00:00+00:00,1,1,0,0
2024-08-11 00:00:00+00:00,2,1,1,1
2024-08-13 00:00:00+00:00,3,2,0,0
2024-08-14 00:00:00+00:00,0,0,2,1
2024-08-16 00:00:00+00:00,1,1,0,0
2024-08-18 00:00:00+00:00,2,1,0,0
2024-08-19 00:00:00+00:00,2,1,1,1
2024-08-20 00:00:00+00:00,2,1,0,0
2024-08-21 00:00:00+00:00,1,1,4,1
2024-08-22 00:00:00+00:00,1,1,0,0
2024-08-23 00:00:00+00:00,3,1,1,1
2024-08-26 00:00:00+00:00,0,0,2,1
2024-08-27 00:00:00+00:00,2,1,0,0
2024-08-28 00:00:00+00:00,3,1,0,0
2024-08-29 00:00:00+00:00,0,0,1,1
2024-08-31 00:00:00+00:00,0,0,1,1
2024-09-01 00:00:00+00:00,2,2,0,0
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,3,1,0,0
2024-09-05 00:00:00+00:00,0,0,2,1
2024-09-06 00:00:00+00:00,3,1,0,0
2024-09-08 00:00:00+00:00,2,1,0,0
2024-09-09 00:00:00+00:00,2,1,0,0
2024-09-12 00:00:00+00:00,0,0,2,1
2024-09-16 00:00:00+00:00,1,1,0,0
2024-09-20 00:00:00+00:00,2,2,0,0
2024-09-21 00:00:00+00:00,1,1,0,0
2024-09-23 00:00:00+00:00,0,0,33,2
2024-09-25 00:00:00+00:00,2,1,0,0
2024-09-27 00:00:00+00:00,0,0,4,1
2024-09-28 00:00:00+00:00,0,0,6,1
2024-09-30 00:00:00+00:00,1,1,0,0
2024-10-01 00:00:00+00:00,1,1,5,1
2024-10-02 00:00:00+00:00,0,0,51,2
2024-10-03 00:00:00+00:00,1,1,4,1
2024-10-04 00:00:00+00:00,2,1,0,0
2024-10-05 00:00:00+00:00,2,1,1,1
2024-10-06 00:00:00+00:00,1,1,0,0
2024-10-07 00:00:00+00:00,1,1,3,1
2024-10-08 00:00:00+00:00,0,0,1,1
